r u1 u2 u3 u4 u5 v1 v2 v3 v4 v5
0 9.9394e-05 0.00011445 0.0001312 0.00014966 0.00016984 70 70 70 70 70
0.5 0.00010014 0.00011535 0.00013228 0.00015097 0.00017141 70 70 70 70 70
1 0.00010241 0.00011809 0.00013557 0.00015493 0.00017618 70 70 70 70 70
1.5 0.00010625 0.00012271 0.00014115 0.00016165 0.00018427 70 70 70 70 70
2 0.00011174 0.00012934 0.00014915 0.0001713 0.00019592 70 70 70 70 70
2.5 0.00011901 0.00013813 0.00015977 0.00018414 0.00021144 70 70 70 70 70
3 0.00012823 0.00014929 0.00017328 0.00020051 0.00023128 70 70 70 70 70
3.5 0.0001396 0.00016309 0.00019003 0.00022084 0.00025599 70 70 70 70 70
4 0.0001534 0.00017986 0.00021043 0.00024568 0.00028628 70 70 70 70 70
4.5 0.00016993 0.0002 0.000235 0.0002757 0.00032301 70 70 70 70 70
5 0.00018958 0.00022402 0.00026438 0.0003117 0.00036723 70 70 70 70 70
5.5 0.00021282 0.00025249 0.00029932 0.00035467 0.00042023 70 70 70 70 70
6 0.00024019 0.00028612 0.00034073 0.00040579 0.00048354 70 70 70 70 70
6.5 0.00027234 0.00032574 0.00038968 0.00046646 0.00055902 70 70 70 70 70
7 0.00031002 0.00037234 0.00044747 0.00053836 0.0006489 70 70 70 70 70
7.5 0.00035415 0.00042709 0.00051561 0.00062352 0.00075583 70 70 70 70 70
8 0.00040579 0.00049137 0.00059592 0.00072431 0.00088303 70 70 70 70 70
8.5 0.00046618 0.00056681 0.00069055 0.00084359 0.0010343 70 70 70 70 70
9 0.0005368 0.00065535 0.00080204 0.00098476 0.0012142 70 70 70 70 70
9.5 0.00061939 0.00075925 0.00093341 0.0011518 0.0014283 70 70 70 70 70
10 0.00071597 0.00088121 0.0010882 0.0013497 0.0016831 70 70 70 70 70
10.5 0.00082894 0.0010244 0.0012708 0.001584 0.0019864 70 70 70 70 70
11 0.00096112 0.0011925 0.001486 0.0018616 0.0023476 70 70 70 70 70
11.5 0.0011158 0.0013901 0.0017399 0.0021905 0.002778 70 70 70 70 70
12 0.0012969 0.0016222 0.0020395 0.0025806 0.003291 70 70 70 70 70
12.5 0.001509 0.0018951 0.0023933 0.0030433 0.0039028 70 70 70 70 70
13 0.0017575 0.0022159 0.002811 0.0035924 0.0046327 70 70 70 70 70
13.5 0.0020486 0.0025934 0.0033046 0.0042441 0.0055037 70 70 70 70 70
14 0.00239 0.0030377 0.0038879 0.0050181 0.0065437 70 70 70 70 70
14.5 0.0027903 0.0035607 0.0045775 0.0059376 0.007786 70 70 70 70 70
15 0.0032599 0.0041766 0.0053932 0.0070304 0.0092702 70 70 70 70 70
15.5 0.003811 0.0049021 0.0063582 0.0083295 0.011044 70 70 70 70 70
16 0.0044579 0.0057571 0.0075003 0.0098745 0.013166 70 70 70 70 70
16.5 0.0052175 0.006765 0.0088525 0.011712 0.015703 70 70 70 70 70
17 0.0061096 0.0079534 0.010454 0.0139 0.018739 70 70 70 70 70
17.5 0.0071579 0.0093551 0.012351 0.016503 0.022373 70 70 70 70 70
18 0.0083897 0.011009 0.014598 0.019603 0.026723 70 70 70 70 70
18.5 0.0098378 0.01296 0.017262 0.023295 0.031932 70 70 70 70 70
19 0.011541 0.015264 0.020421 0.027694 0.038173 70 70 70 70 70
19.5 0.013543 0.017984 0.024167 0.032936 0.04565 70 70 70 70 70
20 0.015899 0.021197 0.028609 0.039184 0.054611 70 70 70 70 70
20.5 0.018671 0.024991 0.033881 0.046633 0.065353 70 70 70 70 68.699
21 0.021934 0.029475 0.040136 0.055516 0.075837 70 70 70 70 67.428
21.5 0.025774 0.034774 0.047561 0.066111 0.086074 70 70 70 68.716 66.188
22 0.030296 0.041038 0.056376 0.076463 0.096075 70 70 70 67.462 64.977
22.5 0.035622 0.048443 0.066844 0.086582 0.10585 70 70 68.732 66.236 63.792
