r u1 u2 u3 u4 u5 v1 v2 v3 v4 v5
0 0.00010515 0.00012125 0.0001392 0.00015906 0.00018084 70 70 70 70 70
0.1 0.00010518 0.00012129 0.00013925 0.00015912 0.00018091 70 70 70 70 70
0.2 0.00010528 0.0001214 0.00013939 0.00015929 0.00018111 70 70 70 70 70
0.3 0.00010544 0.00012159 0.00013962 0.00015956 0.00018145 70 70 70 70 70
0.4 0.00010566 0.00012186 0.00013994 0.00015995 0.00018192 70 70 70 70 70
0.5 0.00010594 0.00012221 0.00014036 0.00016046 0.00018253 70 70 70 70 70
0.6 0.0001063 0.00012263 0.00014087 0.00016107 0.00018327 70 70 70 70 70
0.7 0.00010671 0.00012313 0.00014147 0.0001618 0.00018415 70 70 70 70 70
0.8 0.00010719 0.00012371 0.00014217 0.00016265 0.00018517 70 70 70 70 70
0.9 0.00010774 0.00012437 0.00014297 0.00016361 0.00018632 70 70 70 70 70
1 0.00010835 0.00012511 0.00014386 0.00016468 0.00018762 70 70 70 70 70
1.1 0.00010903 0.00012593 0.00014485 0.00016587 0.00018906 70 70 70 70 70
1.2 0.00010977 0.00012683 0.00014593 0.00016719 0.00019064 70 70 70 70 70
1.3 0.00011059 0.00012781 0.00014712 0.00016862 0.00019237 70 70 70 70 70
1.4 0.00011147 0.00012887 0.00014841 0.00017017 0.00019424 70 70 70 70 70
1.5 0.00011242 0.00013002 0.00014979 0.00017184 0.00019627 70 70 70 70 70
1.6 0.00011344 0.00013126 0.00015128 0.00017364 0.00019844 70 70 70 70 70
1.7 0.00011453 0.00013258 0.00015288 0.00017557 0.00020077 70 70 70 70 70
1.8 0.00011569 0.00013398 0.00015458 0.00017763 0.00020326 70 70 70 70 70
1.9 0.00011693 0.00013548 0.00015639 0.00017981 0.0002059 70 70 70 70 70
2 0.00011824 0.00013707 0.00015831 0.00018214 0.00020871 70 70 70 70 70
2.1 0.00011963 0.00013874 0.00016034 0.00018459 0.00021168 70 70 70 70 70
2.2 0.00012109 0.00014051 0.00016248 0.00018719 0.00021483 70 70 70 70 70
2.3 0.00012263 0.00014238 0.00016474 0.00018992 0.00021814 70 70 70 70 70
2.4 0.00012426 0.00014434 0.00016711 0.0001928 0.00022163 70 70 70 70 70
2.5 0.00012596 0.0001464 0.00016961 0.00019583 0.0002253 70 70 70 70 70
2.6 0.00012774 0.00014857 0.00017223 0.000199 0.00022915 70 70 70 70 70
2.7 0.00012961 0.00015083 0.00017498 0.00020233 0.0002332 70 70 70 70 70
2.8 0.00013156 0.0001532 0.00017785 0.00020582 0.00023743 70 70 70 70 70
2.9 0.00013361 0.00015568 0.00018086 0.00020947 0.00024187 70 70 70 70 70
3 0.00013574 0.00015826 0.000184 0.00021328 0.0002465 70 70 70 70 70
3.1 0.00013796 0.00016096 0.00018727 0.00021727 0.00025135 70 70 70 70 70
3.2 0.00014028 0.00016378 0.00019069 0.00022142 0.0002564 70 70 70 70 70
3.3 0.00014269 0.00016671 0.00019425 0.00022575 0.00026168 70 70 70 70 70
3.4 0.0001452 0.00016976 0.00019796 0.00023027 0.00026718 70 70 70 70 70
3.5 0.00014781 0.00017293 0.00020182 0.00023497 0.00027292 70 70 70 70 70
3.6 0.00015052 0.00017623 0.00020584 0.00023987 0.00027889 70 70 70 70 70
3.7 0.00015334 0.00017966 0.00021002 0.00024496 0.00028511 70 70 70 70 70
3.8 0.00015626 0.00018322 0.00021436 0.00025025 0.00029158 70 70 70 70 70
3.9 0.0001593 0.00018692 0.00021886 0.00025575 0.0002983 70 70 70 70 70
4 0.00016245 0.00019076 0.00022355 0.00026147 0.0003053 70 70 70 70 70
4.1 0.00016571 0.00019474 0.0002284 0.00026741 0.00031257 70 70 70 70 70
4.2 0.0001691 0.00019886 0.00023345 0.00027357 0.00032012 70 70 70 70 70
4.3 0.0001726 0.00020314 0.00023867 0.00027997 0.00032797 70 70 70 70 70
4.4 0.00017624 0.00020758 0.0002441 0.00028661 0.00033612 70 70 70 70 70
4.5 0.00018 0.00021217 0.00024972 0.0002935 0.00034457 70 70 70 70 70
4.6 0.00018389 0.00021693 0.00025554 0.00030064 0.00035335 70 70 70 70 70
4.7 0.00018792 0.00022186 0.00026158 0.00030805 0.00036246 70 70 70 70 70
4.8 0.00019209 0.00022696 0.00026783 0.00031572 0.00037191 70 70 70 70 70
4.9 0.0001964 0.00023224 0.0002743 0.00032368 0.00038171 70 70 70 70 70
5 0.00020086 0.00023771 0.00028101 0.00033192 0.00039187 70 70 70 70 70
5.1 0.00020548 0.00024336 0.00028795 0.00034046 0.00040241 70 70 70 70 70
5.2 0.00021025 0.00024921 0.00029514 0.00034931 0.00041334 70 70 70 70 70
5.3 0.00021518 0.00025526 0.00030257 0.00035848 0.00042466 70 70 70 70 70
5.4 0.00022027 0.00026152 0.00031027 0.00036797 0.0004364 70 70 70 70 70
5.5 0.00022554 0.00026799 0.00031823 0.00037779 0.00044857 70 70 70 70 70
5.6 0.00023098 0.00027467 0.00032647 0.00038797 0.00046118 70 70 70 70 70
5.7 0.0002366 0.00028159 0.00033499 0.0003985 0.00047424 70 70 70 70 70
5.8 0.00024241 0.00028874 0.00034381 0.0004094 0.00048777 70 70 70 70 70
5.9 0.00024841 0.00029612 0.00035292 0.00042069 0.00050179 70 70 70 70 70
6 0.0002546 0.00030376 0.00036235 0.00043237 0.00051632 70 70 70 70 70
6.1 0.000261 0.00031164 0.0003721 0.00044445 0.00053136 70 70 70 70 70
6.2 0.0002676 0.00031979 0.00038218 0.00045696 0.00054694 70 70 70 70 70
6.3 0.00027443 0.00032822 0.00039261 0.00046991 0.00056308 70 70 70 70 70
6.4 0.00028147 0.00033692 0.00040338 0.0004833 0.00057979 70 70 70 70 70
6.5 0.00028874 0.0003459 0.00041452 0.00049716 0.0005971 70 70 70 70 70
6.6 0.00029625 0.00035519 0.00042604 0.00051149 0.00061503 70 70 70 70 70
6.7 0.000304 0.00036478 0.00043795 0.00052632 0.00063359 70 70 70 70 70
6.8 0.000312 0.00037469 0.00045025 0.00054167 0.00065281 70 70 70 70 70
6.9 0.00032025 0.00038492 0.00046297 0.00055754 0.00067271 70 70 70 70 70
7 0.00032877 0.00039549 0.00047612 0.00057396 0.00069332 70 70 70 70 70
7.1 0.00033757 0.0004064 0.00048971 0.00059095 0.00071466 70 70 70 70 70
7.2 0.00034665 0.00041768 0.00050375 0.00060852 0.00073675 70 70 70 70 70
7.3 0.00035601 0.00042932 0.00051827 0.00062669 0.00075963 70 70 70 70 70
7.4 0.00036568 0.00044134 0.00053327 0.00064549 0.00078331 70 70 70 70 70
7.5 0.00037566 0.00045375 0.00054877 0.00066494 0.00080784 70 70 70 70 70
7.6 0.00038596 0.00046657 0.0005648 0.00068505 0.00083322 70 70 70 70 70
7.7 0.00039658 0.00047981 0.00058135 0.00070586 0.00085951 70 70 70 70 70
7.8 0.00040754 0.00049348 0.00059846 0.00072737 0.00088673 70 70 70 70 70
7.9 0.00041886 0.0005076 0.00061615 0.00074963 0.0009149 70 70 70 70 70
8 0.00043053 0.00052218 0.00063442 0.00077265 0.00094408 70 70 70 70 70
8.1 0.00044258 0.00053723 0.0006533 0.00079646 0.00097428 70 70 70 70 70
8.2 0.00045501 0.00055277 0.00067282 0.00082108 0.0010056 70 70 70 70 70
8.3 0.00046783 0.00056882 0.00069298 0.00084655 0.0010379 70 70 70 70 70
8.4 0.00048107 0.00058539 0.00071382 0.0008729 0.0010715 70 70 70 70 70
8.5 0.00049472 0.0006025 0.00073536 0.00090015 0.0011062 70 70 70 70 70
8.6 0.00050881 0.00062017 0.00075761 0.00092833 0.0011421 70 70 70 70 70
8.7 0.00052335 0.00063841 0.00078061 0.00095748 0.0011793 70 70 70 70 70
8.8 0.00053835 0.00065724 0.00080437 0.00098763 0.0012178 70 70 70 70 70
8.9 0.00055383 0.00067669 0.00082893 0.0010188 0.0012577 70 70 70 70 70
9 0.0005698 0.00069678 0.0008543 0.0010511 0.001299 70 70 70 70 70
9.1 0.00058628 0.00071752 0.00088053 0.0010844 0.0013418 70 70 70 70 70
9.2 0.00060328 0.00073893 0.00090763 0.001119 0.001386 70 70 70 70 70
9.3 0.00062083 0.00076104 0.00093564 0.0011546 0.0014319 70 70 70 70 70
9.4 0.00063893 0.00078387 0.00096458 0.0011916 0.0014793 70 70 70 70 70
9.5 0.00065761 0.00080745 0.0009945 0.0012298 0.0015285 70 70 70 70 70
9.6 0.00067689 0.00083179 0.0010254 0.0012693 0.0015794 70 70 70 70 70
9.7 0.00069678 0.00085693 0.0010574 0.0013101 0.0016321 70 70 70 70 70
9.8 0.0007173 0.00088289 0.0010904 0.0013524 0.0016866 70 70 70 70 70
9.9 0.00073847 0.00090969 0.0011245 0.0013961 0.0017431 70 70 70 70 70
10 0.00076033 0.00093737 0.0011598 0.0014414 0.0018017 70 70 70 70 70
10.1 0.00078287 0.00096596 0.0011962 0.0014882 0.0018623 70 70 70 70 70
10.2 0.00080614 0.00099547 0.0012339 0.0015366 0.001925 70 70 70 70 70
10.3 0.00083015 0.001026 0.0012728 0.0015867 0.00199 70 70 70 70 70
10.4 0.00085493 0.0010574 0.001313 0.0016385 0.0020573 70 70 70 70 70
10.5 0.00088049 0.0010899 0.0013546 0.0016921 0.002127 70 70 70 70 70
10.6 0.00090688 0.0011235 0.0013976 0.0017475 0.0021991 70 70 70 70 70
10.7 0.0009341 0.0011582 0.001442 0.0018049 0.0022739 70 70 70 70 70
10.8 0.0009622 0.001194 0.0014879 0.0018642 0.0023513 70 70 70 70 70
10.9 0.0009912 0.001231 0.0015354 0.0019256 0.0024315 70 70 70 70 70
11 0.0010211 0.0012691 0.0015845 0.0019891 0.0025145 70 70 70 70 70
11.1 0.001052 0.0013086 0.0016352 0.0020549 0.0026005 70 70 70 70 70
11.2 0.0010839 0.0013493 0.0016876 0.0021229 0.0026896 70 70 70 70 70
11.3 0.0011168 0.0013914 0.0017418 0.0021932 0.0027819 70 70 70 70 70
11.4 0.0011507 0.0014348 0.0017978 0.002266 0.0028774 70 70 70 70 70
11.5 0.0011857 0.0014797 0.0018557 0.0023413 0.0029764 70 70 70 70 70
11.6 0.0012219 0.0015261 0.0019155 0.0024193 0.0030789 70 70 70 70 70
11.7 0.0012592 0.0015739 0.0019774 0.0024999 0.0031851 70 70 70 70 70
11.8 0.0012977 0.0016234 0.0020413 0.0025833 0.0032951 70 70 70 70 70
11.9 0.0013375 0.0016745 0.0021075 0.0026697 0.0034091 70 70 70 70 70
12 0.0013785 0.0017272 0.0021758 0.002759 0.0035271 70 70 70 70 70
12.1 0.0014208 0.0017817 0.0022465 0.0028515 0.0036494 70 70 70 70 70
12.2 0.0014645 0.001838 0.0023195 0.0029471 0.0037761 70 70 70 70 70
12.3 0.0015097 0.0018961 0.002395 0.0030461 0.0039073 70 70 70 70 70
12.4 0.0015562 0.0019562 0.0024731 0.0031486 0.0040432 70 70 70 70 70
12.5 0.0016043 0.0020182 0.0025538 0.0032546 0.0041841 70 70 70 70 70
12.6 0.0016539 0.0020823 0.0026373 0.0033643 0.0043299 70 70 70 70 70
12.7 0.0017051 0.0021485 0.0027235 0.0034778 0.0044811 70 70 70 70 70
