r u1 u2 u3 u4 u5 v1 v2 v3 v4 v5
34.5 0.091849 0.10696 0.12156 0.13566 0.1493 57.989 57.033 56.107 55.207 54.334
35 0.091096 0.10608 0.12056 0.13455 0.14807 57.422 56.476 55.558 54.667 53.801
35.5 0.09035 0.10521 0.11957 0.13345 0.14686 56.856 55.919 55.009 54.126 53.269
36 0.089611 0.10435 0.11859 0.13236 0.14566 56.29 55.362 54.461 53.587 52.737
36.5 0.088879 0.1035 0.11762 0.13128 0.14447 55.725 54.805 53.913 53.047 52.206
37 0.088153 0.10265 0.11666 0.1302 0.14329 55.159 54.249 53.365 52.508 51.675
37.5 0.087434 0.10182 0.11571 0.12914 0.14212 54.594 53.693 52.818 51.969 51.144
38 0.086722 0.10099 0.11477 0.12809 0.14096 54.03 53.137 52.271 51.43 50.613
38.5 0.086016 0.10017 0.11384 0.12705 0.13982 53.468 52.585 51.727 50.895 50.086
39 0.085316 0.099351 0.11291 0.12601 0.13868 52.91 52.035 51.186 50.362 49.561
39.5 0.084624 0.098544 0.11199 0.12499 0.13755 52.355 51.489 50.649 49.833 49.04
40 0.083937 0.097745 0.11109 0.12398 0.13644 51.803 50.946 50.114 49.306 48.522
40.5 0.083257 0.096953 0.11019 0.12297 0.13533 51.255 50.406 49.583 48.783 48.006
41 0.082583 0.096168 0.10929 0.12198 0.13424 50.709 49.87 49.055 48.263 47.494
41.5 0.081916 0.095391 0.10841 0.12099 0.13315 50.167 49.336 48.529 47.746 46.985
42 0.081255 0.094621 0.10754 0.12002 0.13208 49.628 48.806 48.007 47.232 46.479
42.5 0.0806 0.093858 0.10667 0.11905 0.13101 49.092 48.278 47.488 46.721 45.976
43 0.079951 0.093102 0.10581 0.11809 0.12996 48.559 47.754 46.972 46.213 45.476
43.5 0.079308 0.092354 0.10496 0.11714 0.12891 48.03 47.233 46.46 45.708 44.979
44 0.078671 0.091612 0.10412 0.1162 0.12788 47.503 46.715 45.95 45.207 44.485
44.5 0.07804 0.090877 0.10328 0.11527 0.12685 46.98 46.2 45.443 44.708 43.994
45 0.077415 0.090149 0.10245 0.11434 0.12584 46.46 45.689 44.94 44.213 43.506
45.5 0.076795 0.089428 0.10163 0.11343 0.12483 45.943 45.18 44.44 43.72 43.021
46 0.076182 0.088714 0.10082 0.11252 0.12383 45.429 44.675 43.943 43.231 42.539
46.5 0.075574 0.088006 0.10002 0.11163 0.12284 44.919 44.173 43.448 42.745 42.06
47 0.074973 0.087305 0.099221 0.11074 0.12187 44.411 43.674 42.957 42.261 41.585
47.5 0.074376 0.086611 0.098432 0.10986 0.1209 43.907 43.178 42.469 41.781 41.112
48 0.073786 0.085923 0.097651 0.10898 0.11994 43.406 42.685 41.985 41.304 40.642
48.5 0.073201 0.085242 0.096876 0.10812 0.11899 42.908 42.195 41.503 40.83 40.176
49 0.072621 0.084567 0.09611 0.10726 0.11804 42.413 41.709 41.024 40.359 39.712
49.5 0.072047 0.083899 0.09535 0.10642 0.11711 41.922 41.225 40.549 39.891 39.252
50 0.071479 0.083237 0.094598 0.10558 0.11619 41.433 40.745 40.076 39.426 38.794
50.5 0.070916 0.082581 0.093852 0.10474 0.11527 40.948 40.268 39.607 38.964 38.339
51 0.070358 0.081932 0.093114 0.10392 0.11437 40.466 39.794 39.141 38.505 37.888
51.5 0.069806 0.081289 0.092383 0.1031 0.11347 39.987 39.323 38.677 38.05 37.439
52 0.069259 0.080652 0.091659 0.1023 0.11258 39.511 38.855 38.217 37.597 36.994
52.5 0.068717 0.080021 0.090942 0.1015 0.1117 39.038 38.39 37.76 37.147 36.551
53 0.06818 0.079396 0.090232 0.1007 0.11083 38.569 37.929 37.306 36.701 36.112
53.5 0.067649 0.078777 0.089529 0.099919 0.10996 38.102 37.47 36.855 36.257 35.676
54 0.067123 0.078164 0.088832 0.099142 0.10911 37.639 37.015 36.407 35.817 35.242
54.5 0.066601 0.077557 0.088142 0.098372 0.10826 37.179 36.562 35.963 35.379 34.812
55 0.066085 0.076956 0.087459 0.097609 0.10742 36.722 36.113 35.521 34.945 34.384
55.5 0.065574 0.076361 0.086783 0.096854 0.10659 36.268 35.667 35.082 34.513 33.96
56 0.065068 0.075771 0.086113 0.096107 0.10577 35.818 35.224 34.647 34.085 33.538
56.5 0.064567 0.075188 0.085449 0.095366 0.10495 35.37 34.784 34.214 33.66 33.12
57 0.06407 0.07461 0.084793 0.094633 0.10414 34.926 34.348 33.785 33.237 32.704
57.5 0.063579 0.074037 0.084142 0.093907 0.10335 34.484 33.914 33.359 32.818 32.292
58 0.063092 0.07347 0.083498 0.093188 0.10255 34.046 33.483 32.935 32.402 31.882
58.5 0.06261 0.072909 0.08286 0.092476 0.10177 33.611 33.056 32.515 31.989 31.476
59 0.062133 0.072353 0.082229 0.091772 0.101 33.179 32.631 32.098 31.578 31.072
59.5 0.06166 0.071803 0.081603 0.091074 0.10023 32.751 32.21 31.684 31.171 30.672
60 0.061193 0.071259 0.080984 0.090383 0.099467 32.325 31.792 31.273 30.767 30.274
60.5 0.060729 0.070719 0.080371 0.089699 0.098714 31.903 31.377 30.865 30.366 29.88
61 0.060271 0.070185 0.079764 0.089021 0.097969 31.483 30.965 30.46 29.967 29.488
61.5 0.059817 0.069656 0.079163 0.088351 0.097231 31.067 30.556 30.058 29.572 29.1
62 0.059367 0.069133 0.078569 0.087687 0.0965 30.654 30.15 29.659 29.18 28.714
62.5 0.058922 0.068615 0.07798 0.08703 0.095777 30.244 29.747 29.263 28.791 28.331
63 0.058482 0.068102 0.077397 0.086379 0.095061 29.837 29.347 28.87 28.405 27.951
63.5 0.058046 0.067594 0.07682 0.085735 0.094352 29.433 28.95 28.48 28.021 27.575
64 0.057614 0.067091 0.076248 0.085097 0.09365 29.032 28.557 28.093 27.641 27.201
64.5 0.057187 0.066594 0.075683 0.084466 0.092956 28.634 28.166 27.709 27.264 26.83
65 0.056764 0.066101 0.075123 0.083841 0.092268 28.24 27.779 27.329 26.89 26.462
65.5 0.056345 0.065614 0.074569 0.083223 0.091587 27.848 27.394 26.951 26.519 26.097
66 0.055931 0.065131 0.07402 0.082611 0.090914 27.46 27.013 26.576 26.15 25.735
66.5 0.05552 0.064653 0.073478 0.082005 0.090247 27.075 26.634 26.204 25.785 25.376
67 0.055114 0.064181 0.07294 0.081405 0.089587 26.693 26.259 25.836 25.423 25.019
67.5 0.054713 0.063713 0.072409 0.080812 0.088934 26.313 25.887 25.47 25.063 24.666
68 0.054315 0.06325 0.071882 0.080225 0.088288 25.937 25.517 25.107 24.707 24.316
68.5 0.053922 0.062791 0.071361 0.079643 0.087648 25.564 25.151 24.747 24.353 23.968
69 0.053532 0.062338 0.070846 0.079068 0.087015 25.195 24.788 24.391 24.003 23.624
69.5 0.053147 0.061889 0.070336 0.078499 0.086389 24.828 24.428 24.037 23.655 23.282
