r u1 u2 u3 u4 u5 v1 v2 v3 v4 v5
0 0.00065833 0.00075731 0.00086731 0.00098852 0.0011209 70 70 70 70 70
0.5 0.00066334 0.00076334 0.00087456 0.00099726 0.0011314 70 70 70 70 70
1 0.00067837 0.00078144 0.00089634 0.0010235 0.0011629 70 70 70 70 70
1.5 0.00070378 0.00081205 0.00093321 0.0010678 0.0012163 70 70 70 70 70
2 0.00074016 0.00085592 0.0009861 0.0011316 0.0012932 70 70 70 70 70
2.5 0.00078833 0.00091409 0.0010563 0.0012164 0.0013957 70 70 70 70 70
3 0.00084939 0.00098794 0.0011457 0.0013246 0.0015266 70 70 70 70 70
3.5 0.00092474 0.0010793 0.0012564 0.0014589 0.0016897 70 70 70 70 70
4 0.0010161 0.0011902 0.0013913 0.001623 0.0018897 70 70 70 70 70
4.5 0.0011256 0.0013236 0.0015538 0.0018213 0.0021321 70 70 70 70 70
5 0.0012558 0.0014825 0.001748 0.0020591 0.002424 70 70 70 70 70
5.5 0.0014098 0.0016709 0.001979 0.002343 0.0027738 70 70 70 70 70
6 0.0015911 0.0018935 0.0022528 0.0026806 0.0031917 70 70 70 70 70
6.5 0.001804 0.0021557 0.0025764 0.0030814 0.00369 70 70 70 70 70
7 0.0020536 0.002464 0.0029585 0.0035564 0.0042832 70 70 70 70 70
7.5 0.002346 0.0028263 0.003409 0.004119 0.0049891 70 70 70 70 70
8 0.002688 0.0032517 0.00394 0.0047848 0.0058287 70 70 70 70 70
8.5 0.0030881 0.003751 0.0045657 0.0055728 0.0068272 70 70 70 70 70
9 0.0035559 0.0043369 0.0053028 0.0065053 0.008015 70 70 70 70 70
9.5 0.004103 0.0050245 0.0061714 0.0076091 0.009428 70 70 70 70 70
10 0.0047427 0.0058316 0.007195 0.008916 0.01111 70 70 70 70 70
10.5 0.0054911 0.0067791 0.0084018 0.010464 0.013112 70 70 70 70 70
11 0.0063666 0.0078918 0.0098249 0.012297 0.015496 70 70 70 70 70
11.5 0.0073914 0.009199 0.011504 0.014471 0.018337 70 70 70 70 70
12 0.008591 0.010735 0.013485 0.017048 0.021723 70 70 70 70 70
12.5 0.0099959 0.012541 0.015823 0.020104 0.025762 70 70 70 70 70
13 0.011642 0.014665 0.018585 0.023731 0.030579 70 70 70 70 70
13.5 0.013571 0.017163 0.021849 0.028037 0.036329 70 70 70 70 70
14 0.015832 0.020103 0.025705 0.03315 0.043194 70 70 70 70 70
14.5 0.018484 0.023564 0.030265 0.039224 0.051393 70 70 70 70 70
15 0.021594 0.02764 0.035658 0.046443 0.061191 70 70 70 70 70
15.5 0.025245 0.032441 0.042038 0.055025 0.072901 70 70 70 70 70
16 0.02953 0.038099 0.04959 0.065231 0.086904 70 70 70 70 70
16.5 0.034562 0.044769 0.05853 0.077372 0.10365 70 70 70 70 70
17 0.040472 0.052633 0.069117 0.091821 0.12369 70 70 70 70 70
17.5 0.047415 0.061909 0.081658 0.10902 0.14768 70 70 70 70 70
18 0.055575 0.072853 0.096519 0.1295 0.17639 70 70 70 70 70
18.5 0.065168 0.085768 0.11413 0.15389 0.21078 70 70 70 70 70
19 0.076447 0.10101 0.13502 0.18295 0.25197 70 70 70 70 70
19.5 0.089713 0.11901 0.15978 0.21757 0.30132 70 70 70 70 70
20 0.10532 0.14027 0.18916 0.25885 0.36047 70 70 70 70 70
20.5 0.12368 0.16539 0.22401 0.30806 0.43138 70 70 70 70 68.762
21 0.14529 0.19506 0.26537 0.36674 0.50058 70 70 70 70 67.553
21.5 0.17073 0.23012 0.31446 0.43673 0.56815 70 70 70 68.774 66.373
22 0.20069 0.27157 0.37274 0.50512 0.63417 70 70 70 67.576 65.22
22.5 0.23596 0.32058 0.44195 0.57197 0.69871 70 70 68.783 66.404 64.093
23 0.27752 0.37853 0.50964 0.63734 0.76182 70 70 67.592 65.259 62.991
23.5 0.32647 0.44707 0.57587 0.70132 0.82358 70 68.788 66.427 64.138 61.912
24 0.38414 0.51417 0.64071 0.76394 0.88404 70 67.602 65.286 63.041 60.856
24.5 0.45212 0.57988 0.70421 0.82528 0.94325 68.791 66.441 64.169 61.966 59.822
25 0.51872 0.64426 0.76643 0.88537 1.0013 67.607 65.303 63.075 60.913 58.809
25.5 0.584 0.70737 0.82741 0.94428 1.0581 66.446 64.187 62.002 59.881 57.815
26 0.63342 0.75469 0.87268 0.98755 1.0994 65.32 63.106 60.963 58.882 56.855
26.5 0.66732 0.78657 0.90258 1.0155 1.1255 64.23 62.059 59.957 57.916 55.925
27 0.68601 0.80331 0.91742 1.0285 1.1367 63.173 61.045 58.984 56.98 55.026
27.5 0.6898 0.80522 0.9175 1.0268 1.1333 62.149 60.062 58.041 56.075 54.157
28 0.67898 0.79259 0.90312 1.0107 1.1155 61.156 59.111 57.128 55.199 53.316
28.5 0.66841 0.78025 0.88905 0.99496 1.0981 60.181 58.176 56.231 54.339 52.491
29 0.65807 0.76818 0.8753 0.97957 1.0811 59.223 57.258 55.351 53.494 51.68
29.5 0.64796 0.75637 0.86185 0.96451 1.0645 58.282 56.356 54.486 52.663 50.883
30 0.63806 0.74482 0.84869 0.94978 1.0483 57.357 55.469 53.635 51.847 50.099
30.5 0.62838 0.73352 0.83581 0.93537 1.0323 56.447 54.597 52.799 51.044 49.329
31 0.6189 0.72245 0.8232 0.92126 1.0168 55.553 53.74 51.976 50.255 48.571
31.5 0.60962 0.71162 0.81085 0.90745 1.0015 54.673 52.896 51.167 49.479 47.826
32 0.60053 0.70101 0.79876 0.89392 0.98659 53.807 52.066 50.371 48.715 47.093
32.5 0.59163 0.69062 0.78692 0.88066 0.97197 52.955 51.249 49.587 47.963 46.371
33 0.5829 0.68044 0.77532 0.86768 0.95764 52.116 50.445 48.816 47.222 45.66
33.5 0.57436 0.67046 0.76395 0.85496 0.9436 51.29 49.653 48.056 46.493 44.961
34 0.56598 0.66068 0.75281 0.84249 0.92983 50.476 48.873 47.308 45.775 44.272
34.5 0.55777 0.65109 0.74188 0.83026 0.91634 49.675 48.105 46.571 45.068 43.593
35 0.54971 0.64169 0.73117 0.81828 0.90311 48.885 47.348 45.845 44.371 42.924
35.5 0.54182 0.63248 0.72067 0.80652 0.89014 48.107 46.602 45.129 43.684 42.264
36 0.53407 0.62343 0.71037 0.79499 0.87741 47.339 45.866 44.423 43.007 41.615
36.5 0.52647 0.61456 0.70026 0.78368 0.86493 46.583 45.141 43.728 42.34 40.974
37 0.51902 0.60586 0.69034 0.77258 0.85268 45.837 44.426 43.042 41.682 40.342
37.5 0.5117 0.59732 0.68061 0.76169 0.84066 45.102 43.721 42.366 41.032 39.719
38 0.50452 0.58894 0.67106 0.751 0.82886 44.376 43.026 41.698 40.392 39.104
38.5 0.49747 0.58071 0.66168 0.74051 0.81728 43.662 42.341 41.042 39.762 38.5
39 0.49055 0.57263 0.65248 0.7302 0.80591 42.96 41.668 40.396 39.142 37.905
39.5 0.48375 0.56469 0.64344 0.72009 0.79474 42.269 41.006 39.76 38.532 37.319
40 0.47708 0.5569 0.63456 0.71015 0.78378 41.589 40.354 39.135 37.932 36.743
40.5 0.47052 0.54925 0.62584 0.7004 0.77301 40.92 39.712 38.519 37.341 36.175
41 0.46408 0.54174 0.61728 0.69081 0.76243 40.262 39.081 37.913 36.759 35.617
41.5 0.45776 0.53435 0.60886 0.68139 0.75204 39.614 38.459 37.317 36.187 35.067
42 0.45154 0.52709 0.60059 0.67214 0.74183 38.976 37.847 36.73 35.623 34.526
42.5 0.44543 0.51996 0.59247 0.66305 0.73179 38.348 37.245 36.151 35.068 33.992
43 0.43943 0.51296 0.58448 0.65411 0.72193 37.729 36.651 35.582 34.521 33.467
43.5 0.43353 0.50607 0.57664 0.64533 0.71223 37.12 36.067 35.021 33.983 32.95
44 0.42773 0.4993 0.56892 0.63669 0.7027 36.521 35.492 34.469 33.452 32.441
44.5 0.42202 0.49264 0.56133 0.6282 0.69333 35.93 34.925 33.925 32.93 31.939
45 0.41642 0.48609 0.55388 0.61986 0.68412 35.348 34.367 33.39 32.416 31.445
45.5 0.4109 0.47966 0.54654 0.61165 0.67506 34.776 33.818 32.862 31.909 30.958
46 0.40548 0.47332 0.53933 0.60357 0.66615 34.211 33.276 32.342 31.409 30.479
46.5 0.40014 0.4671 0.53223 0.59563 0.65739 33.656 32.743 31.83 30.917 30.006
47 0.3949 0.46097 0.52525 0.58782 0.64877 33.108 32.217 31.325 30.432 29.54
47.5 0.38974 0.45495 0.51839 0.58014 0.64029 32.569 31.7 30.828 29.955 29.081
48 0.38466 0.44902 0.51163 0.57258 0.63195 32.037 31.189 30.338 29.484 28.629
48.5 0.37966 0.44319 0.50499 0.56515 0.62374 31.513 30.687 29.855 29.02 28.183
49 0.37475 0.43745 0.49845 0.55783 0.61566 30.997 30.191 29.379 28.563 27.744
49.5 0.36991 0.4318 0.49201 0.55062 0.60771 30.489 29.703 28.91 28.112 27.311
50 0.36515 0.42624 0.48568 0.54354 0.59989 29.988 29.222 28.448 27.668 26.884
50.5 0.36046 0.42077 0.47945 0.53656 0.59219 29.494 28.748 27.993 27.23 26.463
51 0.35584 0.41539 0.47331 0.52969 0.58461 29.008 28.281 27.544 26.799 26.048
51.5 0.3513 0.41008 0.46727 0.52293 0.57715 28.528 27.82 27.101 26.373 25.639
52 0.34683 0.40486 0.46132 0.51628 0.5698 28.056 27.366 26.665 25.954 25.236
52.5 0.34243 0.39973 0.45547 0.50972 0.56257 27.59 26.919 26.235 25.541 24.838
53 0.33809 0.39467 0.4497 0.50327 0.55545 27.131 26.478 25.811 25.133 24.446
53.5 0.33383 0.38968 0.44402 0.49692 0.54843 26.678 26.043 25.393 24.731 24.06
54 0.32962 0.38478 0.43843 0.49066 0.54153 26.232 25.615 24.981 24.335 23.679
54.5 0.32548 0.37994 0.43292 0.48449 0.53473 25.793 25.192 24.575 23.944 23.303
55 0.3214 0.37518 0.4275 0.47842 0.52803 25.359 24.776 24.174 23.559 22.933
55.5 0.31739 0.37049 0.42216 0.47245 0.52143 24.932 24.365 23.779 23.179 22.568
56 0.31343 0.36587 0.41689 0.46656 0.51493 24.511 23.96 23.39 22.805 22.207
56.5 0.30953 0.36132 0.41171 0.46075 0.50852 24.096 23.561 23.006 22.436 21.852
57 0.30569 0.35684 0.4066 0.45504 0.50221 23.687 23.168 22.628 22.072 21.502
57.5 0.30191 0.35242 0.40157 0.4494 0.496 23.284 22.78 22.255 21.713 21.156
58 0.29818 0.34807 0.39661 0.44386 0.48987 22.886 22.398 21.887 21.359 20.816
58.5 0.29451 0.34378 0.39172 0.43839 0.48384 22.494 22.021 21.524 21.009 20.48
59 0.29089 0.33956 0.38691 0.433 0.47789 22.108 21.649 21.167 20.665 20.148
59.5 0.28732 0.33539 0.38216 0.42769 0.47203 21.727 21.283 20.814 20.326 19.822
60 0.2838 0.33129 0.37749 0.42245 0.46625 21.351 20.921 20.466 19.991 19.499
60.5 0.28034 0.32724 0.37288 0.41729 0.46056 20.981 20.565 20.123 19.661 19.181
61 0.27692 0.32326 0.36833 0.41221 0.45495 20.616 20.214 19.785 19.335 18.868
61.5 0.27355 0.31933 0.36385 0.4072 0.44941 20.257 19.868 19.452 19.014 18.559
62 0.27023 0.31545 0.35944 0.40226 0.44396 19.902 19.526 19.123 18.698 18.254
62.5 0.26696 0.31163 0.35509 0.39739 0.43859 19.553 19.19 18.799 18.386 17.953
63 0.26374 0.30787 0.3508 0.39258 0.43329 19.208 18.858 18.479 18.078 17.657
63.5 0.26056 0.30415 0.34657 0.38785 0.42806 18.868 18.531 18.164 17.774 17.364
64 0.25742 0.30049 0.34239 0.38318 0.42291 18.534 18.209 17.854 17.475 17.076
64.5 0.25433 0.29688 0.33828 0.37858 0.41783 18.204 17.891 17.547 17.18 16.791
65 0.25128 0.29332 0.33423 0.37404 0.41282 17.879 17.577 17.245 16.888 16.511
65.5 0.24827 0.28981 0.33023 0.36956 0.40788 17.558 17.268 16.948 16.601 16.234
