r u1 u2 u3 u4 u5 v1 v2 v3 v4 v5
36 0.0765 0.089998 0.10337 0.11646 0.12926 63.848 62.521 60.822 59.064 57.331
36.5 0.075269 0.088579 0.10177 0.11469 0.12732 63.621 62.267 60.538 58.755 57.003
37 0.074063 0.087189 0.1002 0.11295 0.12541 63.395 62.015 60.257 58.449 56.678
37.5 0.072879 0.085824 0.098665 0.11125 0.12355 63.17 61.763 59.977 58.144 56.355
38 0.071719 0.084486 0.097158 0.10957 0.12171 62.947 61.513 59.698 57.842 56.033
38.5 0.07058 0.083174 0.09568 0.10793 0.11991 62.727 61.267 59.424 57.543 55.716
39 0.069463 0.081886 0.094229 0.10633 0.11815 62.511 61.024 59.153 57.249 55.404
39.5 0.068367 0.080622 0.092805 0.10475 0.11642 62.299 60.785 58.887 56.959 55.096
40 0.067292 0.079382 0.091408 0.1032 0.11472 62.091 60.55 58.624 56.673 54.792
40.5 0.066236 0.078165 0.090036 0.10168 0.11305 61.886 60.318 58.365 56.392 54.493
41 0.0652 0.07697 0.08869 0.10018 0.11142 61.685 60.09 58.11 56.114 54.198
41.5 0.064183 0.075797 0.087368 0.098716 0.10981 61.488 59.865 57.858 55.839 53.906
42 0.063185 0.074645 0.08607 0.097276 0.10823 61.293 59.643 57.609 55.569 53.619
42.5 0.062204 0.073515 0.084796 0.095862 0.10668 61.102 59.424 57.364 55.302 53.335
43 0.061241 0.072404 0.083544 0.094473 0.10516 60.915 59.209 57.122 55.039 53.055
43.5 0.060296 0.071313 0.082315 0.09311 0.10366 60.73 58.996 56.884 54.778 52.778
44 0.059367 0.070242 0.081108 0.09177 0.10219 60.548 58.786 56.648 54.522 52.505
44.5 0.058454 0.06919 0.079921 0.090454 0.10075 60.37 58.579 56.416 54.268 52.235
45 0.057558 0.068156 0.078756 0.08916 0.09933 60.194 58.374 56.186 54.018 51.969
45.5 0.056678 0.06714 0.077611 0.08789 0.097936 60.021 58.172 55.959 53.77 51.706
46 0.055812 0.066142 0.076486 0.086641 0.096567 59.851 57.973 55.735 53.526 51.446
46.5 0.054962 0.065161 0.07538 0.085414 0.095221 59.684 57.776 55.514 53.285 51.189
47 0.054127 0.064198 0.074294 0.084208 0.093898 59.517 57.582 55.296 53.046 50.935
47.5 0.053306 0.06325 0.073226 0.083023 0.092598 59.351 57.39 55.08 52.81 50.684
