r u1 u2 u3 u4 u5 v1 v2 v3 v4 v5
34 0.022631 0.026412 0.030087 0.033659 0.037133 48.768 46.875 45.02 43.202 41.419
34.5 0.022303 0.026029 0.02965 0.03317 0.036594 47.882 46.015 44.186 42.394 40.637
35 0.021981 0.025653 0.029222 0.032692 0.036066 47.009 45.168 43.365 41.598 39.866
35.5 0.021665 0.025285 0.028802 0.032222 0.035548 46.148 44.333 42.555 40.814 39.107
36 0.021355 0.024923 0.02839 0.031761 0.03504 45.3 43.51 41.758 40.041 38.359
36.5 0.021052 0.024569 0.027987 0.031309 0.034541 44.464 42.699 40.971 39.279 37.621
37 0.020754 0.024221 0.02759 0.030866 0.034052 43.639 41.899 40.196 38.528 36.894
37.5 0.020461 0.023879 0.027201 0.030431 0.033572 42.826 41.11 39.431 37.787 36.176
38 0.020174 0.023544 0.026819 0.030004 0.033101 42.024 40.332 38.676 37.056 35.469
38.5 0.019892 0.023215 0.026445 0.029585 0.032638 41.236 39.567 37.935 36.338 34.774
39 0.019615 0.022892 0.026077 0.029173 0.032184 40.461 38.816 37.207 35.632 34.091
39.5 0.019343 0.022575 0.025716 0.028769 0.031738 39.699 38.077 36.491 34.939 33.42
40 0.019077 0.022264 0.025361 0.028372 0.0313 38.95 37.351 35.787 34.258 32.761
40.5 0.018814 0.021958 0.025012 0.027982 0.03087 38.214 36.637 35.096 33.588 32.113
41 0.018557 0.021657 0.02467 0.027599 0.030448 37.49 35.935 34.416 32.93 31.477
41.5 0.018304 0.021362 0.024334 0.027223 0.030033 36.778 35.245 33.747 32.283 30.851
42 0.018055 0.021072 0.024003 0.026853 0.029625 36.078 34.567 33.09 31.647 30.236
42.5 0.017811 0.020787 0.023679 0.02649 0.029224 35.389 33.9 32.444 31.022 29.631
43 0.017571 0.020507 0.023359 0.026133 0.02883 34.712 33.243 31.808 30.407 29.037
43.5 0.017335 0.020231 0.023046 0.025782 0.028443 34.046 32.598 31.184 29.802 28.453
44 0.017103 0.019961 0.022737 0.025437 0.028062 33.391 31.963 30.569 29.208 27.878
44.5 0.016875 0.019694 0.022434 0.025098 0.027688 32.746 31.339 29.965 28.623 27.313
45 0.016651 0.019433 0.022136 0.024764 0.02732 32.112 30.725 29.37 28.049 26.758
45.5 0.01643 0.019175 0.021843 0.024436 0.026959 31.488 30.12 28.786 27.483 26.212
46 0.016214 0.018922 0.021555 0.024114 0.026603 30.874 29.526 28.211 26.928 25.675
46.5 0.016 0.018673 0.021271 0.023797 0.026253 30.27 28.941 27.645 26.381 25.147
47 0.015791 0.018429 0.020992 0.023485 0.025909 29.676 28.366 27.089 25.844 24.628
47.5 0.015584 0.018188 0.020718 0.023178 0.02557 29.091 27.8 26.542 25.315 24.118
48 0.015381 0.017951 0.020448 0.022876 0.025237 28.516 27.244 26.004 24.795 23.616
48.5 0.015181 0.017718 0.020182 0.022579 0.024909 27.949 26.696 25.474 24.283 23.123
49 0.014985 0.017488 0.019921 0.022286 0.024586 27.392 26.157 24.953 23.78 22.637
49.5 0.014791 0.017262 0.019664 0.021998 0.024269 26.844 25.627 24.441 23.286 22.16
50 0.014601 0.01704 0.019411 0.021715 0.023957 26.305 25.105 23.937 22.799 21.691
50.5 0.014413 0.016821 0.019161 0.021437 0.023649 25.774 24.592 23.441 22.321 21.229
51 0.014229 0.016606 0.018916 0.021162 0.023346 25.251 24.087 22.953 21.85 20.776
51.5 0.014047 0.016394 0.018675 0.020892 0.023048 24.737 23.59 22.474 21.387 20.329
52 0.013869 0.016185 0.018437 0.020626 0.022755 24.231 23.101 22.002 20.932 19.891
52.5 0.013692 0.01598 0.018203 0.020364 0.022466 23.733 22.62 21.537 20.484 19.459
53 0.013519 0.015778 0.017973 0.020107 0.022182 23.243 22.147 21.08 20.043 19.035
53.5 0.013348 0.015578 0.017746 0.019853 0.021902 22.761 21.681 20.631 19.61 18.618
54 0.01318 0.015382 0.017522 0.019603 0.021626 22.287 21.223 20.189 19.184 18.208
54.5 0.013015 0.015189 0.017302 0.019356 0.021354 21.82 20.772 19.755 18.766 17.804
55 0.012852 0.014999 0.017085 0.019114 0.021087 21.36 20.329 19.327 18.354 17.408
55.5 0.012691 0.014811 0.016872 0.018875 0.020823 20.908 19.893 18.906 17.948 17.018
56 0.012533 0.014627 0.016662 0.01864 0.020564 20.464 19.464 18.493 17.55 16.635
56.5 0.012377 0.014445 0.016454 0.018408 0.020308 20.026 19.041 18.086 17.159 16.258
57 0.012223 0.014266 0.01625 0.01818 0.020056 19.595 18.626 17.686 16.773 15.888
57.5 0.012072 0.014089 0.016049 0.017955 0.019808 19.172 18.218 17.292 16.395 15.524
