0 9.8725e-05 0.00011355 0.00013001 0.00014815 0.00016793 70 70 70 70 70
0.5 9.9476e-05 0.00011445 0.0001311 0.00014946 0.00016951 70 70 70 70 70
1 0.00010173 0.00011717 0.00013437 0.00015338 0.00017423 70 70 70 70 70
1.5 0.00010554 0.00012176 0.00013989 0.00016004 0.00018223 70 70 70 70 70
2 0.000111 0.00012833 0.00014782 0.00016959 0.00019375 70 70 70 70 70
2.5 0.00011822 0.00013706 0.00015835 0.0001823 0.0002091 70 70 70 70 70
3 0.00012738 0.00014813 0.00017175 0.00019851 0.00022872 70 70 70 70 70
3.5 0.00013868 0.00016182 0.00018834 0.00021864 0.00025316 70 70 70 70 70
4 0.00015238 0.00017846 0.00020856 0.00024323 0.00028312 70 70 70 70 70
4.5 0.0001688 0.00019845 0.00023292 0.00027295 0.00031944 70 70 70 70 70
5 0.00018833 0.00022228 0.00026204 0.00030859 0.00036317 70 70 70 70 70
5.5 0.00021141 0.00025053 0.00029667 0.00035114 0.00041559 70 70 70 70 70
6 0.0002386 0.0002839 0.00033771 0.00040174 0.0004782 70 70 70 70 70
6.5 0.00027053 0.00032321 0.00038622 0.00046181 0.00055285 70 70 70 70 70
7 0.00030797 0.00036945 0.0004435 0.000533 0.00064173 70 70 70 70 70
7.5 0.00035181 0.00042378 0.00051103 0.0006173 0.00074749 70 70 70 70 70
8 0.0004031 0.00048756 0.00059063 0.00071709 0.00087328 70 70 70 70 70
8.5 0.0004631 0.00056242 0.00068442 0.00083518 0.0010229 70 70 70 70 70
9 0.00053325 0.00065026 0.00079492 0.00097494 0.0012008 70 70 70 70 70
9.5 0.00061529 0.00075336 0.00092513 0.0011404 0.0014125 70 70 70 70 70
10 0.00071123 0.00087437 0.0010786 0.0013362 0.0016645 70 70 70 70 70
10.5 0.00082346 0.0010164 0.0012595 0.0015682 0.0019644 70 70 70 70 70
11 0.00095476 0.0011833 0.0014728 0.001843 0.0023217 70 70 70 70 70
11.5 0.0011084 0.0013793 0.0017245 0.0021687 0.0027473 70 70 70 70 70
12 0.0012883 0.0016096 0.0020214 0.0025549 0.0032547 70 70 70 70 70
12.5 0.001499 0.0018804 0.002372 0.003013 0.0038597 70 70 70 70 70
13 0.0017458 0.0021988 0.0027861 0.0035565 0.0045815 70 70 70 70 70
13.5 0.0020351 0.0025733 0.0032752 0.0042018 0.0054429 70 70 70 70 70
14 0.0023742 0.0030141 0.0038534 0.0049681 0.0064715 70 70 70 70 70
14.5 0.0027718 0.0035331 0.0045369 0.0058784 0.0076999 70 70 70 70 70
15 0.0032383 0.0041442 0.0053453 0.0069603 0.0091678 70 70 70 70 70
15.5 0.0037858 0.0048641 0.0063018 0.0082465 0.010922 70 70 70 70 70
16 0.0044284 0.0057125 0.0074338 0.009776 0.01302 70 70 70 70 70
16.5 0.0051829 0.0067125 0.0087739 0.011596 0.01553 70 70 70 70 70
17 0.0060692 0.0078917 0.010361 0.013761 0.018532 70 70 70 70 70
17.5 0.0071105 0.0092825 0.012241 0.016339 0.022125 70 70 70 70 70
18 0.0083342 0.010923 0.014469 0.019408 0.026428 70 70 70 70 70
18.5 0.0097727 0.01286 0.017109 0.023063 0.03158 70 70 70 70 70
19 0.011464 0.015146 0.02024 0.027418 0.037751 70 70 70 70 70
19.5 0.013454 0.017845 0.023952 0.032607 0.045145 70 70 70 70 70
20 0.015794 0.021032 0.028356 0.038793 0.054008 70 70 70 70 70
20.5 0.018548 0.024798 0.03358 0.046168 0.064631 70 70 70 70 68.693
21 0.021788 0.029247 0.03978 0.054962 0.074999 70 70 70 70 67.417
21.5 0.025604 0.034504 0.047139 0.065452 0.085123 70 70 70 68.711 66.171
22 0.030096 0.040719 0.055876 0.075701 0.095014 70 70 70 67.451 64.954
22.5 0.035386 0.048067 0.066251 0.085719 0.10468 70 70 68.727 66.22 63.764
23 0.041617 0.056756 0.076398 0.095518 0.11414 70 70 67.481 65.015 62.6
23.5 0.048958 0.067032 0.086326 0.10511 0.12339 70 68.74 66.262 63.837 61.461
24 0.057607 0.077093 0.096046 0.11449 0.13245 70 67.507 65.069 62.684 60.346
24.5 0.067801 0.086945 0.10556 0.12368 0.14132 68.752 66.3 63.901 61.554 59.255
25 0.077789 0.096599 0.11489 0.13269 0.15001 67.53 65.116 62.756 60.447 58.185
25.5 0.087579 0.10606 0.12403 0.14152 0.15853 66.332 63.956 61.634 59.362 57.136
26 0.094989 0.11316 0.13082 0.148 0.16472 65.159 62.821 60.536 58.3 56.11
26.5 0.10007 0.11793 0.1353 0.15219 0.16863 64.01 61.709 59.46 57.26 55.106
27 0.10287 0.12044 0.13753 0.15414 0.1703 62.885 60.62 58.407 56.242 54.122
27.5 0.10344 0.12073 0.13754 0.15388 0.16979 61.782 59.553 57.375 55.244 53.158
28 0.10182 0.11884 0.13538 0.15147 0.16712 60.701 58.508 56.363 54.266 52.213
28.5 0.10023 0.11699 0.13327 0.14911 0.16452 59.64 57.481 55.37 53.306 51.285
29 0.098684 0.11518 0.13121 0.1468 0.16198 58.598 56.472 54.394 52.363 50.374
29.5 0.097168 0.11341 0.12919 0.14455 0.15949 57.573 55.48 53.435 51.436 49.479
30 0.095684 0.11168 0.12722 0.14234 0.15705 56.566 54.506 52.493 50.525 48.599
30.5 0.094231 0.10998 0.12529 0.14018 0.15467 55.577 53.548 51.567 49.629 47.734
31 0.09281 0.10832 0.1234 0.13807 0.15233 54.603 52.606 50.656 48.749 46.883
31.5 0.091418 0.1067 0.12155 0.13599 0.15005 53.645 51.68 49.759 47.882 46.046
